id;description;customer_id;accident_date;created_date;claim_type;created_by;line_of_business;product_id;paid;outstanding;claim_amount;commulative
1;Account violet Armenia;735;2021-04-06;2021-04-06;Internal;port Table Account;17533;10123;76722;91506;95155;true
2;Metal;76977;2021-04-06;2021-04-06;External;database;13704;34647;99573;84694;94062;true
3;killer;12118;2021-04-07;2021-04-07;External;Viaduct Operations Account;25299;68303;11300;66634;36900;true
4;revolutionary;48126;2021-04-07;2021-04-06;External;global invoice purple;25270;96292;42525;61679;96842;true
5;Accountability Corporate communities;69836;2021-04-07;2021-04-06;External;silver human-resource capacitor;95521;14684;16128;74604;48965;false
6;hacking digital;50511;2021-04-07;2021-04-06;External;Functionality purple;1988;97176;4522;74914;96153;false
7;website Regional Unbranded;99915;2021-04-06;2021-04-06;Internal;Florida;97336;32332;17313;93535;27319;true
8;foreground Towels Representative;41645;2021-04-06;2021-04-06;Internal;microchip Refined SCSI;4542;57317;25895;71909;21483;true
9;Tuna visionary Cambridgeshire;31715;2021-04-06;2021-04-07;External;Manor indigo;15119;57449;84139;92897;93678;true
10;Cheese infomediaries;23387;2021-04-06;2021-04-06;External;upward-trending Tools Cambridgeshire;28300;84049;36253;85634;57516;true
